Player,Team,Dbl Dbl,Tpl Dbl,40 Pts,20 Reb,20 Ast,5 Stl,5 Blk,High Game,Techs,HOB,Ast/TO,Stl/TO,FT/FGA,W's,L's,Win %,OWS,DWS,WS,GP,#
Juami Tiongson,DYIP,1.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.307,1.1,0.3,0.3,7.0,7.0,0.5,1.0,0.0,1.0,14.0,33
Jeth Troy Rosario,BLAC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,0.0,0.235,1.3,0.4,0.5,4.0,7.0,0.364,1.1,0.3,1.4,11.0,34
Louis Cu,BGK,1.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.159,2.6,0.4,0.1,10.0,8.0,0.556,0.8,0.6,1.4,18.0,35
George Isaac Go,DYIP,1.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.176,0.8,0.2,0.1,7.0,7.0,0.5,0.0,0.3,0.3,14.0,36
Brandon Rosser,TNT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.088,0.8,0.4,0.7,7.0,6.0,0.538,0.0,0.4,0.4,13.0,37
Henry Galinato,TNT,1.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.067,0.4,0.1,0.6,7.0,6.0,0.538,0.0,0.2,0.1,13.0,38
Celedonio Trollano,SMB,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.144,0.9,0.3,0.2,17.0,6.0,0.739,1.9,0.5,2.4,23.0,39
Robert Bolick,NLEX,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,40
Alec Stockton,XERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,41
Roger Ray Pogoy,TNT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,42
Tyler Tio,FUEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,43
Allein Maliksi,MER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,44
Adrian Nocum,ROS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,45
Jayson Castro William,TNT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,46
Jhonard Clarito,ROS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,47
Bryan Santos,XERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,48
Gian Robert Mamuyac,ROS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,49
Zavier Lucero,NPB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,50
Christopher Banchero,MER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,51
Joshua Munzon,NPB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,52
Terrence Romeo,SMB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,53
Marcio Lassiter,SMB,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,54
Aaron Black,MER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,55
Deschon Winston,XERS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,56
Paul Lee Dalistan,SHOT,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,57
Kier Quinto,MER,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0,58
Ricci Paolo Rivero,FUEL,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,59
