#,Player,Team,TS%,eFG%,Total S %,ORB%,DRB%,TRB%,AST%,TOV%,STL%,BLK%,USG%,PPR,PPS,ORtg,DRtg,eDiff,FIC,PER,GP
126.0,Aljun Melecio,XERS,0.397,0.362,155.2,5.5,8.5,7.0,18.2,9.3,0.7,0.0,22.5,2.4,0.8,92.7,118.1,-25.4,25.6,7.7,11.0
127.0,Gabe Norwood,ROS,0.378,0.317,119.9,4.7,15.1,9.8,13.2,12.1,1.6,1.1,9.1,3.6,0.8,97.5,106.2,-8.6,75.5,7.7,15.0
128.0,Kamron Fleming,XERS,0.416,0.421,103.5,5.0,15.8,10.3,2.8,8.5,0.8,2.9,17.2,-2.1,0.9,87.4,113.5,-26.1,10.8,7.5,10.0
129.0,Simon Enciso,SMB,0.48,0.48,68.4,1.4,5.9,3.7,15.7,15.5,1.9,0.4,11.4,3.7,1.0,105.7,108.8,-3.1,36.5,7.4,20.0
130.0,Rome de la Rosa,SHOT,0.444,0.422,139.8,2.6,9.4,5.9,8.8,5.6,1.7,0.0,13.0,2.2,0.9,99.6,107.4,-7.8,18.0,7.3,6.0
131.0,Larry Muyang,FUEL,0.421,0.372,126.1,6.7,18.2,12.6,3.1,3.7,0.0,1.9,15.9,0.0,0.9,97.4,109.0,-11.6,26.3,7.2,10.0
132.0,Jeron Teng,SMB,0.46,0.414,150.1,3.8,8.5,6.2,9.7,16.8,1.1,0.0,24.1,-4.8,1.0,89.0,109.1,-20.1,13.8,6.9,17.0
133.0,Patrick Maagdenberg,XERS,0.412,0.338,111.6,8.8,12.2,10.5,6.7,16.7,1.5,1.6,14.7,-2.6,1.0,90.1,113.7,-23.6,25.3,6.8,11.0
134.0,Kib Montalbo,TNT,0.464,0.448,134.0,0.5,7.5,4.1,21.3,15.1,1.0,0.4,12.6,5.1,1.0,102.5,111.2,-8.7,29.0,6.5,14.0
135.0,Kris Rosales,NPB,0.45,0.413,126.7,2.6,7.2,4.9,13.6,15.3,1.5,0.6,13.9,1.2,1.0,93.1,112.1,-19.0,23.0,6.2,12.0
136.0,Raffy Verano,FUEL,0.397,0.38,112.1,7.1,16.3,11.9,5.3,15.2,1.6,0.7,21.0,-4.9,0.9,78.8,106.8,-28.0,19.8,6.2,11.0
137.0,Michael Joseph Nieto,XERS,0.335,0.31,131.0,8.2,12.1,10.2,4.2,6.3,1.8,0.0,12.6,0.0,0.7,86.8,114.5,-27.7,17.8,6.1,11.0
138.0,Amer Baser,NLEX,0.474,0.468,116.5,1.9,7.8,4.8,16.7,18.4,0.9,0.4,16.8,-0.1,1.0,90.6,113.2,-22.5,26.0,6.0,12.0
139.0,Sean Anthony,NLEX,0.356,0.273,108.7,7.4,20.0,13.2,9.9,13.4,2.6,0.0,24.4,-3.3,0.8,78.0,106.8,-28.8,17.3,5.7,10.0
140.0,John Paul Calvo,DYIP,0.335,0.244,124.4,1.6,11.5,6.7,18.6,18.3,4.0,0.0,17.5,1.4,0.8,77.6,106.6,-29.0,19.6,5.6,12.0
141.0,Kyle Pascual,MER,0.501,0.464,113.1,6.4,14.5,10.3,3.4,15.8,0.3,2.2,9.9,-1.9,1.1,101.8,102.1,-0.3,16.4,5.3,21.0
142.0,Alvin Pasaol,MER,0.233,0.224,51.2,8.0,12.6,10.2,5.6,10.4,1.5,1.9,16.9,-1.3,0.6,62.9,100.3,-37.5,3.8,0.7,14.0
143.0,Von Rolfe Pessumal,BGK,0.441,0.417,134.2,1.2,8.2,4.8,0.0,22.1,0.6,0.0,20.9,-10.5,0.9,72.0,105.6,-33.5,-0.8,0.4,13.0
