Player,Team,GP,MPG,PPG,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,ORB,DRB,RPG,APG,SPG,BPG,TOV,PF,AST,BLK,MIN,PTS,REB,STL,AST%,BLK%,DRB%,DRtg,FIC,ORB%,ORtg,PER,PPR,PPS,STL%,TOV%,TRB%,TS%,Total S %,USG%,eDiff,eFG%,20 Ast,20 Reb,40 Pts,5 Blk,5 Stl,Ast/TO,DWS,Dbl Dbl,FT/FGA,HOB,High Game,L's,OWS,Stl/TO,Techs,Tpl Dbl,W's,WS,Win %
Tyler Tio,FUEL,1.0,24.5,19.0,7.0,10.0,0.7,2.0,4.0,0.5,3.0,4.0,0.75,1.0,1.0,2.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,24.5,19.0,2.0,1.0,26.0,0.0,6.4,118.5,16.8,4.5,172.0,30.2,9.3,1.9,1.8,0.0,5.3,0.808,195.0,19.1,53.5,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
June Mar Fajardo,SMB,23.0,36.2,18.9,7.0,12.8,0.548,0.1,0.5,0.167,4.8,6.4,0.743,4.9,9.4,14.3,2.9,0.4,1.4,2.8,2.4,67.0,32.0,832.1,434.0,329.0,10.0,13.3,3.6,27.0,102.1,448.8,14.6,120.5,23.9,-2.4,1.5,0.6,15.3,20.9,0.604,145.8,22.9,18.4,0.551,0.0,3.0,0.0,0.0,0.0,1.0,1.3,21.0,0.5,0.258,38.0,6.0,2.8,0.2,0.0,0.0,17.0,4.1,0.739
Ian Paul Sangalang,SHOT,12.0,30.4,17.8,6.9,13.2,0.525,0.0,0.0,0.0,4.0,5.3,0.762,2.8,4.3,7.2,2.1,0.3,0.5,1.9,2.7,25.0,6.0,365.0,214.0,86.0,3.0,14.8,1.9,17.0,104.6,139.9,10.7,116.0,20.7,-1.8,1.4,0.4,11.0,13.8,0.576,128.7,26.3,11.4,0.525,0.0,0.0,0.0,0.0,0.0,1.1,0.5,3.0,0.4,0.271,32.0,6.0,1.0,0.1,0.0,0.0,6.0,1.5,0.5
Jason Perkins,FUEL,10.0,35.7,17.6,6.6,12.7,0.52,1.2,3.3,0.364,3.2,3.9,0.821,1.7,6.2,7.9,3.1,0.4,0.2,2.0,2.7,31.0,2.0,357.0,176.0,79.0,4.0,15.9,0.5,18.3,109.1,133.1,5.5,118.3,17.6,0.2,1.4,0.6,12.2,12.2,0.61,170.4,21.0,9.2,0.567,0.0,0.0,0.0,0.0,0.0,1.6,0.2,3.0,0.3,0.276,28.0,7.0,0.9,0.2,0.0,0.0,3.0,1.2,0.3
Chris Newsome,MER,26.0,35.9,17.5,5.5,14.4,0.385,1.3,5.0,0.267,5.0,5.8,0.873,1.2,4.8,6.0,4.5,0.9,0.3,2.0,2.9,117.0,9.0,932.3,454.0,155.0,23.0,22.6,1.0,15.3,102.1,301.0,3.5,111.1,17.4,3.1,1.2,1.4,10.4,9.3,0.516,152.6,25.2,9.0,0.432,0.0,0.0,1.0,0.0,0.0,2.3,1.5,2.0,0.4,0.294,40.0,10.0,1.9,0.5,0.0,0.0,16.0,3.3,0.615
Jeth Troy Rosario,BLAC,11.0,32.9,17.4,5.7,11.8,0.485,1.4,3.7,0.366,4.5,6.3,0.725,3.4,3.6,7.0,2.5,0.7,0.4,1.9,2.4,28.0,4.0,362.3,191.0,77.0,8.0,13.8,1.1,13.0,108.1,140.6,10.4,119.7,20.0,-0.7,1.5,1.2,11.6,11.6,0.596,157.5,22.9,11.6,0.542,0.0,0.0,0.0,0.0,0.0,1.3,0.3,1.0,0.5,0.235,33.0,7.0,1.1,0.4,0.0,0.0,4.0,1.4,0.364
Leonard Santillan,ROS,18.0,31.8,17.1,5.9,12.4,0.475,1.7,5.4,0.309,3.6,5.4,0.663,2.0,5.8,7.8,2.6,0.5,0.3,1.9,1.7,47.0,6.0,571.6,307.0,141.0,9.0,13.6,0.9,19.0,106.8,229.3,6.5,111.8,17.0,-0.6,1.4,0.8,11.6,12.8,0.577,144.8,22.4,5.0,0.543,0.0,0.0,0.0,0.0,0.0,1.3,0.6,4.0,0.4,0.223,31.0,10.0,1.1,0.3,0.0,0.0,8.0,1.6,0.444
Javier Joaquin Gomez de Liano,DYIP,14.0,29.5,16.4,6.1,10.7,0.573,1.6,4.1,0.397,2.4,3.3,0.739,1.6,4.4,5.9,1.9,0.8,0.9,2.1,2.5,27.0,12.0,412.4,229.0,83.0,11.0,12.4,2.6,16.2,110.2,170.5,6.3,121.8,21.4,-2.7,1.5,1.4,14.6,11.4,0.673,170.9,22.5,11.6,0.65,0.0,0.0,0.0,0.0,0.0,0.9,0.3,2.0,0.3,0.228,23.0,7.0,1.3,0.4,0.0,0.0,7.0,1.5,0.5
Mark Barroca,SHOT,12.0,34.4,15.4,5.9,14.2,0.418,1.3,4.1,0.306,2.3,3.2,0.737,0.7,3.3,4.0,5.4,1.8,0.2,2.8,3.7,65.0,2.0,412.6,185.0,48.0,22.0,30.3,0.6,11.5,101.4,115.3,2.2,101.5,14.3,2.6,1.1,2.9,15.0,6.8,0.495,146.1,24.4,0.0,0.462,0.0,0.0,0.0,0.0,2.0,2.0,0.7,1.0,0.2,0.342,27.0,6.0,0.2,0.7,0.0,0.0,6.0,0.9,0.5
Beau Belga,ROS,18.0,30.0,14.9,5.4,11.7,0.462,2.0,5.6,0.356,2.2,3.7,0.582,0.8,6.2,6.9,4.8,0.8,0.4,2.7,3.8,86.0,8.0,539.7,269.0,125.0,14.0,26.1,1.2,21.3,104.6,209.6,2.7,104.7,15.4,1.6,1.3,1.3,16.7,12.0,0.562,140.0,22.6,0.1,0.548,0.0,0.0,0.0,0.0,0.0,1.8,0.7,3.0,0.3,0.266,28.0,10.0,0.5,0.3,0.0,1.0,8.0,1.2,0.444
Jamie Orme,BGK,8.0,34.5,14.1,5.4,14.8,0.364,1.8,6.6,0.264,1.6,2.5,0.65,2.5,4.6,7.1,3.3,0.9,0.8,3.3,2.4,26.0,6.0,275.7,113.0,57.0,7.0,17.1,2.1,14.5,101.4,68.3,7.8,89.8,10.3,-3.3,1.0,1.4,17.0,11.1,0.446,127.9,25.1,-11.6,0.424,0.0,0.0,0.0,0.0,0.0,1.0,0.4,1.0,0.2,0.255,32.0,3.0,-0.3,0.3,0.0,0.0,5.0,0.1,0.625
Allein Maliksi,MER,26.0,23.1,13.7,4.9,11.5,0.423,1.3,3.9,0.324,2.7,3.3,0.793,0.5,2.8,3.3,1.5,0.5,0.2,0.8,2.8,38.0,6.0,601.5,356.0,85.0,14.0,12.7,1.0,13.6,102.8,165.4,2.4,110.8,17.8,0.6,1.2,1.3,6.1,7.9,0.526,154.0,28.7,8.1,0.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Japeth Aguilar,BGK,19.0,28.2,13.6,5.4,9.7,0.554,0.0,0.2,0.0,2.9,3.6,0.797,1.6,4.8,6.4,0.6,0.2,1.4,1.4,2.5,11.0,26.0,536.5,259.0,122.0,4.0,4.1,4.4,17.9,99.3,185.9,6.3,116.1,17.9,-3.6,1.4,0.4,10.8,12.2,0.604,135.1,20.7,16.8,0.554,0.0,0.0,0.0,0.0,0.0,0.4,1.0,2.0,0.4,0.18,21.0,8.0,1.1,0.2,0.0,0.0,11.0,2.2,0.579
